id,name,price,image,category,rating,reviews,inStock,isOrganic
1,Ghee,21,https://keralaayurveda.biz/cdn/shop/articles/unnamed_53d6b8aa-8a09-448f-9fea-6e04472a3689.jpg?v=1752079400&width=700,Groceries,4.5,100,TRUE,FALSE
3,Urad Dal (Black Gram Dal),84,https://cdn.shopify.com/s/files/1/0627/8266/8969/files/Chana_Dal_480x480.webp?v=1705988578,Groceries,4.5,100,TRUE,FALSE
4,Raw Rice,105,https://www.aramiyarkai.com/admin/images/blog/ponni-raw_BID53.webp,Groceries,4.5,100,TRUE,FALSE
6,Sugar,53,https://i0.wp.com/vrmshoppe.com/wp-content/uploads/2021/05/white-sugar-500x500-1.jpg?fit=500%2C500&ssl=1,Groceries,4.5,100,TRUE,FALSE
7,Toor Dal (Split Pigeon Pea),102,https://www.gosupps.com/media/catalog/product/8/1/81_x81KEFLL.jpg,Groceries,4.5,100,TRUE,FALSE
8,Fenugreek,110,"https://static.toiimg.com/thumb/msid-103661436,imgsize-137346,width-400,resizemode-4/103661436.jpg",Groceries,4.5,100,TRUE,FALSE
9,Mustard Seeds (Small),111,https://cdn.shopaccino.com/edible-smart/products/mustard-seeds-1579770498-5266794-271964_l.jpg?v=611?param=1,Groceries,4.5,100,TRUE,FALSE
10,Cumin Seeds,55.5,https://chakkipeesing.com/cdn/shop/files/97.png?v=1744791954&width=713,Groceries,4.5,100,TRUE,FALSE
11,Black Pepper,110,https://img500.exportersindia.com/product_images/bc-500/2024/8/13659881/black-pepper-powder-1722486404-7545723.jpeg,Groceries,4.5,100,TRUE,FALSE
12,White Pepper,54.5,https://www.ebaza.com.my/image/ebaza/image/cache/data/jW0t2zhy1696906966-748x498.jpg,Groceries,4.5,100,TRUE,FALSE
13,Coriander Seeds,54.5,https://vibrantliving.in/cdn/shop/files/CorianderSeeds.png?v=1731059976&width=800,Groceries,4.5,100,TRUE,FALSE
14,Turmeric Powder,54.5,http://content.health.harvard.edu/wp-content/uploads/2024/03/fa246ce0-054b-4892-bf30-5eb43cd938aa.jpg,Groceries,4.5,100,TRUE,FALSE
15,Oil,210,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
16,Coconut Oil,110,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
20,Coffee Powder,62,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
28,Garlic,85.5,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
30,Green Gram,87,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
31,Jaggery,22,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
33,Spices/Aromatics,112,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
35,Asafoetida,36,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
36,Cumin Seeds (Salt Sugar),26,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
37,Asafoetida,93,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
38,Chilli Powder,111,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
39,Coriander Powder,110,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
40,Groundnut Oil,130,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
41,Garlic,227.5,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
42,Sugar,42,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
43,Ginger Garlic Paste,78,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
52,Cumin Seeds,76,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
53,Dried Chillies,128,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
58,Onion,85,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
71,Groundnuts,74,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
75,Urad Dal,56,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
76,Sugar,22,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
77,Spices/Aromatics,118,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
78,Urad Dal,360,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
79,Chilli Powder,85,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
80,Dried Chillies,42.5,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
81,Sugar,41.5,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
82,All Sugar,221,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
83,Wheat Flour,182,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
84,Cumin Seeds,147,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
85,White,110,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
86,Sugar,200,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
87,Toor Dal,105,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
88,Sugar,42,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
89,Coriander Seeds,108,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
90,Black Pepper,110,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
91,Cumin Seeds,110,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
92,Sugar,55,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
93,Coriander Seeds,55,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
94,Sugar,150,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
95,Sugar,152,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
96,Jaggery,145,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
97,Wheat Flour,155,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
98,Wheat Flour,172,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
99,Oil,256,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
100,Raw Rice,129,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
101,Channa Dal,114,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
102,Sugar,118,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
103,Sugar,52.5,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
104,Chilli Powder,55,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
105,Sugar,55,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
106,Sugar,55,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
107,Sugar,55,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
108,Sugar,55,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
109,Ginger Garlic Paste,67.2,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
110,Jaggery,140,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
111,Jaggery,170,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
112,Spices/Aromatics,53,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
113,Spices/Aromatics,140,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
114,Sugar,93,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
115,Sugar,120,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
116,Jaggery,93,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
117,Jaggery,111,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
118,Sugar,48,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
119,Sugar,102,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
120,Sugar,53,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
121,Sugar,109,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
122,Jaggery,53,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
123,Jaggery,110,placeholder_image_link,Groceries,4.5,100,TRUE,FALSE
